incident_id,participant_id,ndis_number,dob,incident_date,incident_time,notification_date,location,address,incident_type,subcategory,severity,reportable,carer_id,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome,notification_time_frame
INC0137,P017,1419842311,1972-04-15,2024-09-03,06:59,2024-09-03,Participant's residence - Bedroom,"1075 Moore Shores Apt. 840, Bondi, NSW 2026",Financial Misconduct / Error,Theft,Medium,True,C6655,Receipts for purchases did not match the participant's plan.,Participant and guardian informed.,Financial reconciliation and recovery process initiated.,Participant's financial plan not reviewed,Lisa Green,,,False,False,,,5 business days
INC0138,P002,3080635547,1994-06-09,2025-06-29,03:12,2025-07-06,Supported Independent Living (SIL) Home,"5615 Michael Circle Suite 595, Sydney, NSW 2000",Environmental Hazard,Flooding,Medium,True,C4944,Uncovered power outlet discovered in common room.,Safety of participants and staff ensured.,Regular maintenance inspections conducted.,No signage on wet floor,Victoria Mullins,,,False,False,,,5 business days
INC0139,P007,1017277855,1989-12-21,2024-09-27,07:40,2024-09-27,Participant's residence - Dining area,"8399 Kenneth Canyon, Wollongong, NSW 2500",Near Miss,Almost tripped,Low,False,C4296,Wrong medication label caught before administration.,Internal incident report commenced.,"Review of procedures related to medication management, environmental safety, etc.",Communication errors,John Frazier,,,False,False,,,7 days
INC0140,P083,7057250858,2000-09-04,2024-11-11,14:59,2024-11-11,Participant's residence - Bedroom,"6350 Santiago Land, Liverpool, NSW 2170",Death,Palliative cases,Critical,True,C4367,Participant was found unresponsive during the morning wellness check. Emergency services were contacted immediately.,Support offered to other participants who were aware.,Formal NDIS report submitted.,Natural causes,Alexandria Hood,,,False,False,,,24 hours
INC0141,P057,9601148257,1979-10-05,2024-10-07,13:05,2024-10-07,Supported Independent Living (SIL) Home,"4049 Jennifer Point, Blacktown, NSW 2148",Equipment Failure,Bed rail collapse,Medium,True,C7373,Alarm system failed to activate.,Risk assessment of the situation.,Formal report to NDIS Commission if reportable.,Incorrect use of hoist,Mary Myers,Lacerations,Medium,True,False,,,5 business days
INC0142,P052,8255878935,1979-12-05,2025-04-17,12:08,2025-04-18,Respite Care Facility,"6957 Lindsey Knoll Apt. 080, Chatswood, NSW 2067",Financial Misconduct / Error,Billing error,Medium,True,C7732,Participant reported money missing from their room.,Finance team notified and account frozen temporarily.,Review of financial oversight and auditing processes.,Participant vulnerability to financial exploitation,Stephen Simon,,,False,False,,,5 business days
INC0143,P032,2098196737,1971-06-03,2024-12-08,01:21,2024-12-13,Therapy Room,"710 Craig Locks Apt. 660, Penrith, NSW 2750",Service Complaint,Poor care quality,Low,False,C7825,Participant expressed dissatisfaction with the quality of support provided.,Participant offered restorative discussion.,Lessons learned shared with all staff.,Limited access to assistive technologies,Charles Walls,Minor cuts,Low,False,False,,,7 days
INC0144,P053,9502142898,1966-02-26,2025-06-03,16:58,2025-06-03,Participant's residence - Staff office,"2214 Kathleen Summit Apt. 745, Campbelltown, NSW 2560",Behavioural Incident,Throwing objects,Medium,True,C5521,Participant threw items across the room during a sensory overload episode.,Guardian/family notified if significant.,Staff training on behaviour support strategies and de-escalation.,Underlying medical or psychological factors,Taylor Harris,,,False,False,,,5 business days
INC0145,P045,6249939032,1982-03-06,2025-05-05,07:26,2025-05-05,Participant's residence - Dining area,"70737 Luna Ramp Apt. 837, Chatswood, NSW 2067",Equipment Failure,Hoist malfunction,Medium,True,C1773,Bathroom aid equipment became unstable during use.,Guardian/family notified if participant safety was compromised.,Full equipment audit conducted.,Battery not charged before use,Emily Clements,,,False,False,,,5 business days
INC0146,P018,5524271134,1966-07-22,2025-06-08,10:14,2025-06-08,Participant's residence - Kitchen,"596 Riley Mountains, Wollongong, NSW 2500",Behavioural Incident,Disruption,Medium,True,C2585,Participant damaged furniture during a meltdown.,Staff involved debriefed and supported.,Discussion with participant about the incident and consequences.,Sensory overload in group area,Emily Newman,Minor burns,Medium,False,False,,,5 business days
INC0147,P075,2019210712,1976-01-19,2025-03-01,01:42,2025-03-01,Respite Care Facility,"3535 Greene Station Suite 161, Campbelltown, NSW 2560",Service Complaint,Staff rudeness,Low,False,C7054,Services were not delivered as outlined in the support plan.,NDIS Commission notified if reportable.,Monitoring of service quality increased.,Systemic issues with service delivery,Jay Sosa,Bruising,Low,True,True,Hospital Visit,,7 days
INC0148,P058,1227552147,1982-06-26,2025-07-30,03:40,2025-07-30,Participant's residence - Dining area,"69031 Lopez Radial, Campbelltown, NSW 2560",Self-Harm / Suicide,Suicide attempts,High,True,C8079,Participant deliberately ingested a harmful substance.,Safety of participant ensured.,Counselling and therapeutic support provided to the participant.,Changes in routine or environment,Nicole Jackson,,,False,False,,,24 hours
INC0149,P078,9274684686,1987-12-14,2025-03-04,00:22,2025-03-04,Supported Independent Living (SIL) Home,"874 Nicole Isle, Blacktown, NSW 2148",Service Complaint,Staff rudeness,Low,False,C7989,Complaint about staff being unprofessional or rude.,NDIS Commission notified if reportable.,Staff schedule adjusted for consistency.,Poor scheduling or rostering,Richard Sanchez,,,False,False,,,7 days
INC0150,P034,1425474793,2002-10-26,2025-03-15,11:18,2025-03-15,Therapy Room,"5946 Chandler Harbor, Campbelltown, NSW 2560",Self-Harm / Suicide,Cutting,High,True,C1102,"Participant was found in their room with superficial scratches on their arms, caused by a paperclip.",First aid administered. Guardian and psychologist contacted.,Counselling and therapeutic support provided to the participant.,Lack of 1:1 supervision as per care plan,Kayla Oconnor,Severe head injury,High,False,False,,,24 hours
INC0151,P034,1425474793,2002-10-26,2025-06-15,11:49,2025-06-16,Participant's residence - Dining area,"530 Erin Parkways, Newcastle, NSW 2300",Verbal Abuse / Argument,Hostile disagreements,Low,False,C9741,Argument broke out between two participants over shared TV time. Situation escalated briefly before staff intervened.,Staff involved supported and debriefed.,Policies and procedures on managing verbal aggression reviewed.,Lack of positive behaviour reinforcement,Mr. Aaron Bryant,,,False,False,,,7 days
INC0152,P098,4734910788,1974-04-09,2024-09-06,05:23,2024-09-06,Participant's residence - Bedroom,"22106 Matthew Brooks Apt. 053, Chatswood, NSW 2067",Self-Harm / Suicide,Suicide attempts,High,True,C7947,Incident involving ligature use.,Emergency services contacted if required.,Collaboration with mental health professionals and medical team.,Recent family conflict,Nancy White,,,False,False,,,24 hours
INC0153,P015,5263729128,2001-09-27,2024-10-28,14:29,2024-10-29,Healthcare Facility (Hospital/Clinic),"424 Buck Fort Suite 914, Parramatta, NSW 2150",Medical Incident (Non-Injury),Overheating,Medium,True,C3005,Participant displayed signs of overheating during outdoor activity.,Participant's medical plan reviewed immediately.,All staff reminded to review allergy profiles weekly.,Inadequate monitoring as per care plan,Austin Clayton,,,False,False,,,5 business days
INC0154,P007,1017277855,1989-12-21,2024-12-22,16:36,2024-12-22,Participant's residence - Bathroom,"5125 Barrett Forest, Liverpool, NSW 2170",Equipment Failure,Hoist malfunction,Medium,True,C7897,Lift within the facility stopped working.,Staff involved debriefed.,Policies and procedures on equipment maintenance and reporting failures reinforced.,Lack of staff training on specific equipment,John Shepherd,,,False,False,,,5 business days
INC0155,P082,6075386712,1960-08-19,2025-01-15,09:32,2025-01-15,Participant's residence - Kitchen,"70309 Summers Wells, Chatswood, NSW 2067",Death,Hospital-related,Critical,True,C1521,Participant passed away unexpectedly at home during the night.,Participant's personal belongings secured.,Staff training on emergency response protocols reinforced.,Palliative stage of care,Christopher Nelson,,,False,False,,,24 hours
INC0156,P019,2637950167,1991-09-03,2024-10-17,14:05,2024-10-18,Supported Independent Living (SIL) Home,"4676 Tucker Gateway, Penrith, NSW 2750",Service Complaint,Delays,Low,False,C9018,Complaint about staff being unprofessional or rude.,Participant offered restorative discussion.,Staff schedule adjusted for consistency.,Staff fatigue or low morale,Michelle Thomas,,,False,False,,,7 days
INC0157,P028,2163110673,2002-10-18,2025-01-07,06:10,2025-01-08,Participant's residence - Dining area,"46730 Emily Vista, Penrith, NSW 2750",Near Miss,Medication nearly administered incorrectly,Low,False,C3231,Participant nearly tripped on folded mat near bathroom.,Policies and procedures related to the near miss reviewed.,Staff training on hazard identification and reporting.,Gate left unlatched,Andrea Coleman,Bruising,Low,False,False,,,7 days
INC0158,P034,1425474793,2002-10-26,2024-11-03,23:20,2024-11-03,Office/Administrative Area,"847 John Pass, Wollongong, NSW 2500",Environmental Hazard,Unsafe chemicals,Medium,True,C1711,"Heating system malfunctioned, causing extreme temperatures.",NDIS Commission notified if reportable.,Staff training on identifying and reporting hazards.,Poor lighting in certain areas,Kevin Smith,,,False,False,,,5 business days
INC0159,P019,2637950167,1991-09-03,2024-10-15,14:05,2024-10-16,Respite Care Facility,"8019 Elliott Meadow Suite 202, Newcastle, NSW 2300",Unethical Staff Behaviour,Breach of duty of care,High,True,C8419,Staff failed to record multiple absences from activity sessions.,Safety and well-being of participants ensured.,Increased oversight and auditing of documentation.,Policies not being enforced,Linda Grant,Internal bleeding,High,True,True,GP Consultation,Full recovery,24 hours
INC0160,P041,1670113625,1993-05-09,2025-08-01,09:15,2025-08-01,Public pool,"788 Amber Islands Suite 401, Chatswood, NSW 2067",Missing Person / Unexplained Absence,Wandering from facility,High,True,C1518,Participant with dementia left residence during staff transition without supervision.,Staff involved in last contact debriefed.,Staff training on monitoring and supervision techniques.,Lack of visual monitoring in outdoor area,Anthony Schwartz,Internal bleeding,High,False,False,,,24 hours
INC0161,P027,3005974357,1978-10-23,2025-06-03,08:01,2025-06-04,Office/Administrative Area,"63867 Karen Groves Suite 532, Newcastle, NSW 2300",Unethical Staff Behaviour,Deliberate neglect,High,True,C5413,Staff member used abusive language towards a participant.,Relevant documentation and evidence secured.,"Disciplinary action taken against the staff member, up to termination.",Inadequate supervision of staff,Timothy Patton,,,False,False,,,24 hours
INC0162,P074,7686146437,1973-08-26,2025-07-06,02:28,2025-07-06,Healthcare Facility (Hospital/Clinic),"8001 Cole Loaf, Newcastle, NSW 2300",Unethical Staff Behaviour,Breach of duty of care,High,True,C9646,Staff member used abusive language towards a participant.,Review of access to sensitive information and documentation.,Staff retraining conducted with legal and ethical focus.,Staff stress or personal issues impacting judgment,Michael Duran,,,False,False,,,24 hours
INC0163,P088,8037889557,1990-03-20,2025-07-07,09:19,2025-07-08,Participant's residence - Hallway,"55519 Foley Cape, Blacktown, NSW 2148",Behavioural Incident,Biting,Medium,True,C4808,Verbal intimidation directed at staff.,Calming techniques and protective gear applied.,Staff training on behaviour support strategies and de-escalation.,Communication difficulties,Jordan Chen,,,False,False,,,5 business days
INC0164,P052,8255878935,1979-12-05,2025-02-20,02:06,2025-02-20,Healthcare Facility (Hospital/Clinic),"845 Taylor Haven Apt. 964, Sydney, NSW 2000",Service Complaint,Poor care quality,Low,False,C3697,Complaint about staff being unprofessional or rude.,Complaint logged in the feedback system.,Communication with the participant and guardian improved.,Communication breakdown between staff and management,Jeffrey Harvey,,,False,False,,,7 days
INC0165,P100,6710138176,1968-03-07,2025-08-21,13:52,2025-08-21,Participant's residence - Hallway,"86357 Robert Point Apt. 176, Wollongong, NSW 2500",Financial Misconduct / Error,Misuse of funds,Medium,True,C1179,Staff member used participant's funds for personal items.,Review of participant's financial management plan.,Legal advice sought if necessary.,Staff acting unethically,Deanna Moreno,Lacerations,Medium,False,False,,,5 business days
INC0166,P009,8828505652,1992-02-26,2025-07-31,03:20,2025-07-31,Office/Administrative Area,"21432 Karla Inlet, Penrith, NSW 2750",Near Miss,Almost tripped,Low,False,C2191,Participant nearly tripped on folded mat near bathroom.,Guardian/family notified if there was a potential risk.,"Review of procedures related to medication management, environmental safety, etc.",Medication tray left unattended,Jessica Graham,Bruising,Low,True,True,None,Permanent impairment,7 days
INC0167,P041,1670113625,1993-05-09,2025-08-07,21:30,2025-08-07,Participant's residence - Kitchen,"495 Sandoval Glen, Parramatta, NSW 2150",Near Miss,Door not secured,Low,False,C3153,Participant almost accessed an unsupervised area with known risks.,Guardian/family notified if there was a potential risk.,Development of checklists or reminders for high-risk tasks.,Failure to follow existing procedures,Kathleen Williamson,Minor cuts,Low,False,False,,,7 days
INC0168,P055,9185773976,2004-02-26,2025-05-16,18:51,2025-05-16,Participant's residence - Hallway,"39763 Kathleen Green, Bondi, NSW 2026",Medical Incident (Non-Injury),Seizure,Medium,True,C5395,Sudden onset of dizziness and nausea reported by participant.,Ambulance called and allergy triggers removed.,Medication management plan reviewed.,Monitoring equipment malfunction,Jackie Howell,Sprains,Medium,True,True,Monitoring,Ongoing treatment,5 business days
INC0169,P032,2098196737,1971-06-03,2025-02-24,19:14,2025-02-25,Participant's residence - Communal area,"11560 Beasley Path Suite 386, Liverpool, NSW 2170",Medical Incident (Non-Injury),Overheating,Medium,True,C7993,Participant became suddenly unwell with flu-like symptoms.,Participant monitored closely for changes in condition.,Environmental factors contributing to the incident addressed.,Sudden onset of symptoms,Stephanie Guzman,Minor burns,Medium,True,True,Monitoring,,5 business days
INC0170,P002,3080635547,1994-06-09,2024-11-24,14:28,2024-11-25,Respite Care Facility,"50188 Adams Lakes Apt. 794, Liverpool, NSW 2170",Financial Misconduct / Error,Billing error,Medium,True,C6808,Receipts for purchases did not match the participant's plan.,All relevant financial records secured.,Support provided to the participant to manage their finances safely.,Lack of oversight on financial transactions,Jason Bryant,,,False,False,,,5 business days
INC0171,P050,2405626335,1985-10-09,2024-10-28,15:54,2024-10-28,Participant's residence - Communal area,"19478 Morgan Islands Suite 349, Chatswood, NSW 2067",Self-Harm / Suicide,Ingestion of harmful substances,Critical,True,C2907,Participant attempted to harm themselves using a sharp object.,NDIS Commission notified immediately.,Formal report submitted to NDIS Commission.,Changes in routine or environment,Joseph Vaughn,,,False,False,,,24 hours
INC0172,P058,1227552147,1982-06-26,2025-08-15,16:16,2025-08-16,Participant's residence - Bathroom,"525 Javier Port, Chatswood, NSW 2067",Environmental Hazard,Flooding,Medium,True,C3417,Chemical spill occurred in the cleaning supply room.,Guardian/family notified if participant safety was compromised.,Contractor called for electrical repairs.,Environmental factors (weather events),Erin Weiss,Lacerations,Medium,True,False,,,5 business days
INC0173,P066,2619533257,1989-07-15,2024-12-20,21:33,2024-12-21,At participant's residence driveway,"8215 Shawn Stream, Bondi, NSW 2026",Transport Incident,Vehicle crash,High,True,C2789,Untrained staff member drove the vehicle unexpectedly.,Vehicle secured and hazard lights activated.,Communication plan for transport disruptions reinforced.,Failure to use or check safety equipment,Lisa Ford,Concussion,High,True,True,None,Ongoing treatment,24 hours
INC0174,P067,9811945038,1960-09-16,2025-06-23,08:43,2025-06-23,Supported Independent Living (SIL) Home,"6281 Sharon Lodge Suite 445, Sydney, NSW 2000",Death,Hospital-related,Critical,True,C4910,Paramedics confirmed death on arrival after a sudden collapse.,Support staff followed emergency protocol and contacted emergency services and the on-call nurse.,Post-incident debrief conducted and emotional support offered to staff.,Complications from existing illness,Chris Jones,Internal bleeding,Critical,True,False,,,24 hours
INC0175,P042,9430150748,1974-06-19,2025-07-19,18:22,2025-07-19,Office/Administrative Area,"26771 Collins Union, Penrith, NSW 2750",Medical Incident (Non-Injury),Sudden illness onset,Medium,True,C7123,Participant became suddenly unwell with flu-like symptoms.,First aid and emergency protocol followed.,Quality improvement process initiated.,Monitoring equipment malfunction,Lauren Ingram,Lacerations,Medium,False,False,,,5 business days
INC0176,P016,5058285476,1994-08-02,2024-11-05,14:27,2024-11-05,Healthcare Facility (Hospital/Clinic),"3764 Carla Stream, Newcastle, NSW 2300",Self-Harm / Suicide,Ingestion of harmful substances,Critical,True,C4607,Report received of participant hoarding medication.,Participant placed on 1:1 support for the evening. Mental health team alerted.,Counselling and therapeutic support provided to the participant.,Medication side effects not reviewed,Hunter Fletcher,,,False,False,,,24 hours
INC0177,P009,8828505652,1992-02-26,2024-12-22,09:42,2024-12-22,Respite Care Facility,"19576 Adam Shores Suite 163, Wollongong, NSW 2500",Service Complaint,Inaccessible services,Low,False,C6184,Participant experienced significant delays in receiving support.,Assessment of the impact of the complaint on the participant.,Monitoring of service quality increased.,Communication breakdown between staff and management,Dawn Jones,,,False,False,,,7 days
INC0178,P064,5295841861,2007-07-13,2025-05-20,00:23,2025-05-20,Participant's residence - Outdoor area,"182 Susan Track, Wollongong, NSW 2500",Self-Harm / Suicide,Suicide attempts,Critical,True,C4597,Participant made verbal threats to end their life.,Risk assessment of the situation completed urgently.,Development of a crisis management plan.,Recent family conflict,Christopher Lewis,Death,Critical,False,False,,,24 hours
INC0179,P027,3005974357,1978-10-23,2025-07-05,21:41,2025-07-05,Healthcare Facility (Hospital/Clinic),"3543 Davis Hill, Sydney, NSW 2000",Medical Incident (Non-Injury),Overheating,Medium,True,C4392,Participant's blood sugar level dropped significantly.,Vital signs checked and recorded.,Quality improvement process initiated.,Monitoring equipment malfunction,Jerry Meyer,,,False,False,,,5 business days
INC0180,P023,5925470246,1976-11-12,2025-03-22,23:04,2025-03-23,Therapy Room,"44488 Amy Fall, Sydney, NSW 2000",Self-Harm / Suicide,Ingestion of harmful substances,Critical,True,C9938,Participant deliberately ingested a harmful substance.,First aid administered. Guardian and psychologist contacted.,Increased monitoring and supervision plan implemented.,Mental health episode triggered by news,Cheryl Adams,Severe head injury,Critical,True,True,Hospital Visit,Ongoing treatment,24 hours
INC0181,P019,2637950167,1991-09-03,2025-03-06,01:15,2025-03-06,Respite Care Facility,"03280 Krista Spur, Liverpool, NSW 2170",Sexual Misconduct,Exhibitionism,High,True,C4749,Incident of public masturbation in a common area.,Privacy of participant prioritised and safeguarding officer alerted.,Policies on professional conduct and sexual harassment reinforced.,Staff failing to adhere to code of conduct,Melissa Kim,Severe head injury,High,True,True,Medication,,24 hours
INC0182,P038,9511662391,1962-05-19,2024-12-21,14:59,2024-12-23,Day Program Center,"63316 Tyler Springs Apt. 851, Liverpool, NSW 2170",Near Miss,Almost tripped,Low,False,C1510,Staff member almost administered medication to the wrong participant.,Policies and procedures related to the near miss reviewed.,Environmental changes made to reduce identified risks.,Inadequate training on procedures,Samuel Smith,,,False,False,,,7 days
INC0183,P068,6508842419,1997-08-05,2025-02-06,17:08,2025-02-06,Participant's residence - Activity room,"03533 Robert Plaza Suite 403, Bondi, NSW 2026",Self-Harm / Suicide,Threats to self,Critical,True,C7652,Staff found participant in a potentially dangerous situation with intent to self-harm.,Internal incident report commenced.,Collaboration with mental health professionals and medical team.,Changes in routine or environment,Sarah Brown,Multiple fractures,Critical,True,True,None,Ongoing treatment,24 hours
INC0184,P059,4412570713,1992-05-19,2025-03-28,23:29,2025-03-28,Day Program Center,"777 Ross Park Suite 149, Parramatta, NSW 2150",Infectious Disease Exposure,Gastroenteritis,High,True,C8273,Failure to follow isolation protocols led to exposure.,Communication with public health authorities.,Vaccination status and protocols reviewed.,Visitor non-compliance with protocols,Cynthia Wong,,,False,False,,,24 hours
INC0185,P077,7956334871,1992-02-21,2025-04-11,01:56,2025-04-18,Respite Care Facility,"331 Carrie Plains Suite 451, Liverpool, NSW 2170",Near Miss,Door not secured,Low,False,C3994,Hot tea spilled near participant’s hand but no contact made.,Learning points shared with the team.,Communication with staff about vigilance and safety culture.,Trip hazard not removed,Nicholas Simmons,,,False,False,,,7 days
INC0186,P022,5422617423,1993-11-07,2025-03-06,18:03,2025-03-06,Respite Care Facility,"684 Ball Parks Apt. 758, Sydney, NSW 2000",Environmental Hazard,Electrical hazard,Medium,True,C6041,Sharp object found on the floor in a common area.,Internal incident report commenced.,Repairs completed and safety measures implemented.,Chemical storage room left open,Connie Stewart,,,False,False,,,5 business days
INC0187,P014,5057888147,1990-07-04,2025-02-09,17:20,2025-02-10,Day Program Center,"1399 Karen Loaf, Penrith, NSW 2750",Self-Harm / Suicide,Ingestion of harmful substances,Critical,True,C8888,"Participant was found in their room with superficial scratches on their arms, caused by a paperclip.",Review of participant's risk assessment and safety plan.,Increased monitoring and supervision plan implemented.,Lack of 1:1 supervision as per care plan,Brittany Sanders,Death,Critical,False,False,,,24 hours
INC0188,P026,2248872181,1985-04-18,2025-08-24,21:14,2025-08-24,Participant's residence - Staff office,"4126 Casey Views Apt. 831, Bondi, NSW 2026",Medical Incident (Non-Injury),Overheating,Medium,True,C2047,Allergic reaction observed after snack intake.,Environment adjusted to ensure participant comfort and safety.,Quality improvement process initiated.,Participant exposed to allergen,Richard Costa,,,False,False,,,5 business days
INC0189,P025,4031379047,1998-06-09,2025-06-20,21:52,2025-06-22,Participant's residence - Kitchen,"6750 Brown Brook Apt. 091, Sydney, NSW 2000",Unethical Staff Behaviour,Breach of duty of care,High,True,C4794,Staff failed to record multiple absences from activity sessions.,Guardian/family notified of the investigation.,Review of recruitment and screening processes.,Failure to report previous incident,Johnny Gonzalez DVM,Deep wounds,High,True,True,First Aid,Full recovery,24 hours
INC0190,P038,9511662391,1962-05-19,2024-10-26,12:39,2024-10-27,Participant's residence - Outdoor area,"346 Pamela Islands, Parramatta, NSW 2150",Environmental Hazard,Flooding,Medium,True,C9393,Pathway blocked by fallen debris after a storm.,Evacuation procedures followed if necessary.,Environment hazard checklist reviewed weekly.,Poor lighting in certain areas,Lucas Reid,,,False,False,,,5 business days
INC0191,P024,5110339253,1990-05-14,2025-03-03,09:58,2025-03-06,Participant's residence - Bathroom,"33087 Mendoza Estate, Sydney, NSW 2000",Service Complaint,Delays,Low,False,C4027,Services were not delivered as outlined in the support plan.,Internal investigation process initiated.,Changes made to service delivery processes based on feedback.,Delayed response to service request,Christopher Robertson,,,False,False,,,7 days
INC0192,P055,9185773976,2004-02-26,2025-04-25,23:20,2025-04-26,Participant's residence - Hallway,"41729 Nicholas Ville, Penrith, NSW 2750",Behavioural Incident,Throwing objects,Medium,True,C9818,Participant caused significant disruption to a planned outing.,First aid administered if injuries occurred.,Formal report to NDIS Commission if reportable.,Disruption in routine,Jason Chambers,,,False,False,,,5 business days
INC0193,P096,4151234763,1980-02-07,2025-03-30,23:24,2025-03-31,Office/Administrative Area,"23266 Matthew Ville Apt. 391, Sydney, NSW 2000",Verbal Abuse / Argument,Threatening language,Low,False,C6853,Staff member was verbally abused by a participant.,Guardian/family notified if significant.,Behaviour therapist updated support plan.,Miscommunication about schedule,Jennifer Grant,,,False,False,,,7 days
INC0194,P079,4257733438,1969-05-18,2025-04-18,05:38,2025-04-18,Participant's residence - Bathroom,"709 Tracy Loaf Apt. 094, Liverpool, NSW 2170",Death,Sudden,Critical,True,C5692,Participant was discovered deceased by support staff.,Privacy measures implemented for other residents.,Policies and procedures regarding death in service reviewed.,Delayed emergency response,Melissa Lamb,,,False,False,,,24 hours
INC0195,P070,8210928896,1991-08-24,2025-04-02,00:17,2025-04-03,Participant's residence - Staff office,"535 Lee Harbors, Chatswood, NSW 2067",Verbal Abuse / Argument,Participant-to-participant or staff,Low,False,C7626,Argument between staff members occurred in front of participants.,Environment made calm.,Staff training on de-escalation and conflict resolution.,Miscommunication about schedule,Mr. Louis Gomez,,,False,False,,,7 days
INC0196,P092,1193513650,1981-10-18,2025-02-02,13:43,2025-02-02,Respite Care Facility,"2892 Haynes Harbor, Chatswood, NSW 2067",Verbal Abuse / Argument,Threatening language,Low,False,C8098,Argument between staff members occurred in front of participants.,Safety of all individuals ensured.,Formal report to NDIS Commission if reportable.,Lack of positive behaviour reinforcement,James Williams,Scrapes,Low,True,True,Monitoring,Permanent impairment,7 days
INC0197,P007,1017277855,1989-12-21,2025-06-16,06:27,2025-06-16,Respite Care Facility,"51301 Williams Harbor, Blacktown, NSW 2148",Self-Harm / Suicide,Ingestion of harmful substances,Critical,True,C9051,Participant expressed suicidal thoughts during a support conversation.,Emergency services contacted if required.,Discussion with family/guardian about ongoing support.,Stress or anxiety,Deanna Hill,,,False,False,,,24 hours
INC0198,P012,6860748371,1993-04-10,2024-11-25,19:23,2024-11-25,Healthcare Facility (Hospital/Clinic),"08389 Linda Radial Suite 231, Wollongong, NSW 2500",Environmental Hazard,Electrical hazard,Medium,True,C1179,Sharp object found on the floor in a common area.,Emergency services contacted if required.,Regular maintenance inspections conducted.,Chemical storage room left open,Maria Hall,,,False,False,,,5 business days
INC0199,P077,7956334871,1992-02-21,2025-08-23,15:50,2025-08-23,Participant's residence - Staff office,"3749 Andrew Avenue Apt. 628, Penrith, NSW 2750",Medical Incident (Non-Injury),Overheating,Medium,True,C4937,Participant experienced difficulty breathing.,Medical professional consulted.,Communication with participant's medical team enhanced.,Staff not recognizing warning signs,Mr. David Haney,Sprains,Medium,True,False,,,5 business days
INC0200,P079,4257733438,1969-05-18,2025-06-23,15:28,2025-06-23,Participant's residence - Communal area,"8556 Henry Motorway, Penrith, NSW 2750",Equipment Failure,Wheelchair breakdown,Medium,True,C5790,Mechanical hoist failed mid-transfer; staff safely lowered participant.,NDIS Commission notified if reportable.,Quality improvement process initiated for equipment management.,Wear and tear reported but not addressed,Danielle Phillips,,,False,False,,,5 business days
INC0201,P022,5422617423,1993-11-07,2025-06-23,07:45,2025-06-24,Healthcare Facility (Hospital/Clinic),"739 Benjamin Square, Blacktown, NSW 2148",Verbal Abuse / Argument,Threatening language,Low,False,C1567,Participant became verbally abusive when asked to follow instructions.,Internal incident report commenced.,Behaviour therapist updated support plan.,Underlying behavioural issues,Bianca Roman,,,False,False,,,7 days
INC0202,P046,4812789264,2001-08-24,2025-06-02,07:34,2025-06-03,Participant's residence - Kitchen,"396 Lee Hollow, Newcastle, NSW 2300",Self-Harm / Suicide,Threats to self,Critical,True,C3903,Participant made verbal threats to end their life.,First aid administered. Guardian and psychologist contacted.,Discussion with family/guardian about ongoing support.,Previous history of self-harm,Brittany Conley,Multiple fractures,Critical,False,False,,,24 hours
INC0203,P053,9502142898,1966-02-26,2024-09-16,07:42,2024-09-23,Therapy Room,"4903 Laura Divide, Wollongong, NSW 2500",Abuse or Neglect,Sexual,High,True,C1600,Witness reported seeing staff handle participant roughly.,Report made to police and safeguarding officer.,External safeguarding authority is involved.,Staffing shortage during incident,Kyle Obrien,Severe head injury,High,False,False,,,24 hours
INC0204,P022,5422617423,1993-11-07,2025-08-04,21:34,2025-08-04,Participant's residence - Bedroom,"187 Taylor Glens, Campbelltown, NSW 2560",Sexual Misconduct,Harassment,High,True,C9623,Participant reported being shown inappropriate images by another person.,Privacy of participant prioritised and safeguarding officer alerted.,Discussion with other participants about appropriate behaviour.,Lack of staff vigilance in private areas,John Smith,Multiple fractures,High,True,True,Monitoring,,24 hours
INC0205,P073,3623339179,1970-05-11,2025-02-18,11:20,2025-02-18,Therapy Room,"65840 Robert Lane, Bondi, NSW 2026",Financial Misconduct / Error,Billing error,Medium,True,C7593,Participant was pressured into giving money to someone.,Internal investigation commenced.,Quality improvement process initiated for financial management.,Participant's financial plan not reviewed,Samuel Brown,Lacerations,Medium,True,False,,,5 business days
INC0206,P060,1055942362,1969-09-29,2025-04-04,11:47,2025-04-05,Participant's residence - Communal area,"444 Karen Mill, Liverpool, NSW 2170",Death,Hospital-related,Critical,True,C6696,Death occurred peacefully in their room with family present.,Police contacted as per protocol for unexplained death.,Incident reported to the NDIS Commission immediately.,Failure to identify early warning signs,Jeffery Johnson II,,,False,False,,,24 hours
INC0207,P048,2420994284,1973-09-05,2024-10-04,05:22,2024-10-04,On the street,"94840 Daniel Vista Apt. 333, Chatswood, NSW 2067",Transport Incident,Unsafe driver behavior,High,True,C4011,Staff member was observed driving erratically with participants onboard.,Risk assessment of the transport route.,Use of appropriate restraints and safety equipment checked.,External traffic conditions,Elizabeth Garcia,Deep wounds,High,True,False,,,24 hours
INC0208,P085,6835789389,1973-03-31,2025-01-25,13:54,2025-01-25,Office/Administrative Area,"8350 Christopher Isle Apt. 255, Campbelltown, NSW 2560",Verbal Abuse / Argument,Threatening language,Low,False,C4920,Disagreement escalated to shouting and yelling.,Participants separated and de-escalation techniques used.,Behaviour therapist updated support plan.,Underlying behavioural issues,Heather Nash,Scrapes,Low,True,False,,,7 days
