incident_id,participant_name,ndis_number,dob,incident_date,incident_time,notification_date,location,incident_type,subcategory,severity,reportable,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome
INC-2025-05-0071,Mr. Jeremy Alvarez,43539321420,03/03/2002,06/01/2025,17:13,06/01/2025,Day Program Center,Trip and Fall,Slippery floor,Low,No,A raised tile at the entrance caused participant to fall while entering.,Mat removed and area secured. Participant monitored for 24 hours.,All mats replaced with non-slip versions.,Environmental hazards,Kathleen Gonzalez (Behaviour Support Practitioner),Minor cut,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2025-01-0072,Tyrone Mason,43299488220,03/06/1969,10/04/2025,18:46,10/04/2025,Workplace Training Site,Trip and Fall,Slippery floor,Critical,No,A raised tile at the entrance caused participant to fall while entering.,Mat removed and area secured. Participant monitored for 24 hours.,All mats replaced with non-slip versions.,Lighting conditions,Oscar Thomas (Case Manager),Sprain,moderate,Yes,Yes,first_aid,"First aid provided, monitored for 24 hours"
INC-2024-12-0073,Mary Elliott,43565951016,02/12/1947,19/12/2024,17:24,21/12/2024,Community Access Venue,Assault (Unlawful Contact),"Physical assault (hitting, kicking)",Critical,No,Incident involving inappropriate touch between participants reported by staff.,Police contacted and evidence preserved where appropriate.,Participants' behaviour plans reviewed and safety plans activated.,Escalated behavioral episode,Emily Bentley (Behaviour Support Practitioner),Bruising,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2024-09-0074,Janet Beltran,43446558679,15/09/1985,07/01/2025,13:07,07/01/2025,Workplace Training Site,Serious Injury,Wounds requiring medical treatment,Medium,Yes,Participant tripped over a rug in the hallway and hit their head on a doorframe. They became dizzy and sat down immediately.,"Participant supported to a safe sitting position, ice pack applied, and guardian notified.",Manual handling protocol reviewed with all staff.,Environmental hazards,Jacqueline Solis (On-call Nurse),Head injury,severe,Yes,Yes,hospital,Participant transferred to hospital for treatment
INC-2024-09-0075,Angela Gomez,43889405388,21/09/1974,13/10/2024,07:18,14/10/2024,Community Access Venue,Transport Incident,Unsafe driver behavior,Medium,No,Untrained staff member drove the vehicle unexpectedly.,Incident documented with support agency and transport authority.,Driver credentials verified and retraining issued.,Vehicle maintenance issues,Christian Thompson (Program Coordinator),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-09-0076,Sarah Sampson,43476483677,06/08/1991,11/05/2025,18:49,11/05/2025,Respite Care Facility,Trip and Fall,Slippery floor,High,No,Participant tripped over a loose floor mat while walking from the kitchen to the lounge.,Mat removed and area secured. Participant monitored for 24 hours.,All mats replaced with non-slip versions.,Mobility equipment issues,Anne Cardenas (Senior Support Worker),Bruising,moderate,Yes,Yes,first_aid,"First aid provided, monitored for 24 hours"
INC-2024-11-0077,Cameron Miles,43103536924,15/10/2004,25/03/2025,21:32,25/03/2025,Transport Vehicle,Death,Palliative cases,Critical,Yes,The participant passed away at the hospital after a medical emergency. The family had been notified earlier.,Family and GP notified; room secured pending formal procedures.,Incident reported to the NDIS Commission immediately.,Pre-existing medical conditions,April Smith (On-call Nurse),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-01-0078,Linda Jackson,43115357780,19/04/1978,01/12/2024,13:21,01/12/2024,Participant's Home,Abuse or Neglect,Physical,Critical,Yes,Participant disclosed that another resident had pushed them during a meal.,Report made to police and safeguarding officer.,Mandatory reporting completed with support from compliance officer.,Staff training gaps,Allison Smith (On-call Nurse),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-02-0079,Tracy Obrien,43238787490,29/04/2000,18/09/2024,19:53,18/09/2024,Respite Care Facility,Medical Incident (Non-Injury),Sudden illness onset,Critical,No,Allergic reaction observed after snack intake.,First aid and emergency protocol followed.,All staff reminded to review allergy profiles weekly.,Environmental triggers,Michelle Smith (Speech Therapist),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-10-0080,Kathleen Griffin,43498804632,19/01/1945,20/01/2025,13:26,20/01/2025,Therapy Clinic,Transport Incident,Vehicle crash,Critical,No,Vehicle broke down during transport to therapy session.,First aid provided and alternate transport arranged.,Driver credentials verified and retraining issued.,Weather conditions,Michael Turner (On-call Nurse),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-12-0081,Rachel Garza,43979252470,05/03/1985,06/11/2024,11:12,08/11/2024,Transport Vehicle,Assault (Unlawful Contact),Sexual assault,Low,No,Verbal threats made to staff by participant in response to support boundaries.,Parties separated and de-escalation applied.,NDIS notification completed and follow-up support arranged.,Escalated behavioral episode,Jessica Snow (Physiotherapist),Bruising,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2025-05-0082,Jenny Sanchez MD,43910136580,25/09/1997,15/09/2024,21:50,16/09/2024,Respite Care Facility,Behavioural Incident,Disruption,High,No,Staff bitten during personal care support.,Participant guided to quiet space for recovery.,Staff team debriefed with clinical support.,Sensory overload,Michael Hart (Support Worker),Bite mark,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2024-08-0083,Timothy Ortiz,43258709476,22/12/1994,17/01/2025,07:39,19/01/2025,Workplace Training Site,Death,Palliative cases,Medium,Yes,Participant died overnight in their sleep as part of their palliative care plan.,Family and GP notified; room secured pending formal procedures.,Post-incident debrief conducted and emotional support offered to staff.,Medication interactions,Veronica Smith (Program Coordinator),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-06-0084,David Holt,43986983031,08/02/2001,10/12/2024,08:17,10/12/2024,Group Home,Trip and Fall,Uneven surface,High,No,A raised tile at the entrance caused participant to fall while entering.,Mat removed and area secured. Participant monitored for 24 hours.,Weekly hazard inspections implemented.,Lighting conditions,Jessica Johnson (Speech Therapist),Bruising,moderate,Yes,Yes,hospital,Medical assessment completed
INC-2025-03-0085,Benjamin Sims,43550110913,03/11/1973,23/11/2024,18:45,24/11/2024,Supported Independent Living (SIL),Transport Incident,Unsafe driver behavior,Medium,No,Untrained staff member drove the vehicle unexpectedly.,First aid provided and alternate transport arranged.,Driver credentials verified and retraining issued.,Vehicle maintenance issues,Kimberly Oliver (Senior Support Worker),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-11-0086,Tricia Cooper,43378250561,20/11/1984,02/07/2025,21:55,04/07/2025,Community Outing,Trip and Fall,Slippery floor,Critical,No,Participant tripped over a loose floor mat while walking from the kitchen to the lounge.,Mat removed and area secured. Participant monitored for 24 hours.,Weekly hazard inspections implemented.,Mobility equipment issues,Michael Patterson (Support Worker),Sprain,moderate,Yes,Yes,first_aid,"First aid provided, monitored for 24 hours"
INC-2025-07-0087,Robin Smith,43453914473,22/05/1948,18/02/2025,15:31,18/02/2025,Respite Care Facility,Sexual Misconduct,Inappropriate touching,Medium,Yes,Staff found inappropriate materials left in communal area.,Staff member removed from shift pending investigation.,Staff retrained on professional boundaries and dignity in care.,Supervision failures,Heather Marsh (Program Coordinator),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-10-0088,Ronald King,43749650466,12/03/1992,29/04/2025,16:31,01/05/2025,Workplace Training Site,Behavioural Incident,Intimidation,Critical,No,Staff bitten during personal care support.,Calming techniques and protective gear applied.,Behaviour support plan updated.,Communication difficulties,Dana Banks (Occupational Therapist),Bite mark,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2024-12-0089,Dustin Stevens,43726891998,04/10/1950,20/09/2024,09:05,21/09/2024,Community Outing,Restrictive Practices (Unauthorised),Physical restraint,Medium,Yes,Chemical restraint used during distress event without required authorisation.,Participant debriefed and incident escalated to behaviour practitioner.,Behaviour support plan reviewed urgently.,Emergency situation,Corey Garcia (On-call Nurse),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-06-0090,Mckenzie Hunter,43173878277,23/05/1975,30/11/2024,14:56,30/11/2024,Group Home,Trip and Fall,Slippery floor,High,No,Participant tripped over a loose floor mat while walking from the kitchen to the lounge.,Staff supported participant and contacted nurse for assessment.,Weekly hazard inspections implemented.,Mobility equipment issues,Theresa Rowe (Program Coordinator),Bruising,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2025-07-0091,Maureen Lopez,43124055332,03/02/1959,16/02/2025,20:25,17/02/2025,Respite Care Facility,Missing Person / Unexplained Absence,Wandering from facility,Low,No,Participant left group activity unnoticed and was later located at a shop.,Family and case manager informed immediately.,Location-tracking plan discussed with guardian.,Communication gaps,James Tran (Behaviour Support Practitioner),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-03-0092,William Preston,43374845136,06/07/1973,20/10/2024,08:28,22/10/2024,Workplace Training Site,Death,Hospital-related,Medium,Yes,Participant died overnight in their sleep as part of their palliative care plan.,Family and GP notified; room secured pending formal procedures.,Post-incident debrief conducted and emotional support offered to staff.,Pre-existing medical conditions,James Moore (Team Leader),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-07-0093,Diana Martin,43485723511,13/09/1965,04/08/2024,08:01,05/08/2024,Transport Vehicle,Serious Injury,Loss of consciousness,High,Yes,Participant tripped over a rug in the hallway and hit their head on a doorframe. They became dizzy and sat down immediately.,"Participant supported to a safe sitting position, ice pack applied, and guardian notified.",Manual handling protocol reviewed with all staff.,Equipment failure,Rachel Perez (Behaviour Support Practitioner),Laceration,moderate,Yes,Yes,hospital,Medical assessment completed
INC-2025-05-0094,Rodney Lawrence,43885466382,14/12/1940,22/10/2024,20:43,24/10/2024,Community Access Venue,Abuse or Neglect,Financial,High,Yes,Concern raised about possible withholding of meals due to missed appointments.,Participant removed from contact with the alleged individual.,Internal investigation initiated and risk management plan updated.,Staff training gaps,Jackson Diaz (Case Manager),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-12-0095,Mandy Bennett,43158203930,11/02/1982,10/11/2024,13:03,11/11/2024,Workplace Training Site,Medical Incident (Non-Injury),Seizure,Low,No,Participant reported chest discomfort during a group walk.,First aid and emergency protocol followed.,Medical plan updated; incident discussed with GP.,Environmental triggers,Denise Morton (Senior Support Worker),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-05-0096,Melanie Miller,43557352836,13/12/1943,08/05/2025,10:51,09/05/2025,Respite Care Facility,Transport Incident,Unsafe driver behavior,Critical,No,Participant fell while stepping into the van and sustained minor bruising.,Incident documented with support agency and transport authority.,Driver credentials verified and retraining issued.,Weather conditions,Sheila Chen (Senior Support Worker),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-08-0097,Rebecca Sullivan,43937086583,12/06/1960,06/06/2025,17:50,07/06/2025,Therapy Clinic,Behavioural Incident,Intimidation,Critical,No,Aggressive yelling and pacing observed following a schedule change.,Participant guided to quiet space for recovery.,Behaviour support plan updated.,Schedule changes,Omar Gutierrez (Team Leader),Scratch,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2025-03-0098,Mr. Ryan Morris MD,43958809310,19/05/1993,10/08/2024,07:02,10/08/2024,Respite Care Facility,Trip and Fall,Uneven surface,Medium,No,Participant tripped over a loose floor mat while walking from the kitchen to the lounge.,Mat removed and area secured. Participant monitored for 24 hours.,Weekly hazard inspections implemented.,Lighting conditions,Nicholas Griffin (Support Worker),Minor cut,moderate,Yes,Yes,hospital,Medical assessment completed
INC-2025-01-0099,Patrick Giles,43322192312,17/11/1975,07/04/2025,18:36,09/04/2025,Day Program Center,Missing Person / Unexplained Absence,Wandering from facility,Low,No,Participant left group activity unnoticed and was later located at a shop.,Family and case manager informed immediately.,Location-tracking plan discussed with guardian.,Environmental factors,Mary Garner (Physiotherapist),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-12-0100,Theresa Hoffman,43785739145,20/04/1974,14/07/2025,14:16,16/07/2025,Supported Independent Living (SIL),Missing Person / Unexplained Absence,No contact during outing,Medium,No,Participant did not return after walk and was found 45 minutes later at a nearby park.,Family and case manager informed immediately.,Supervision schedule updated with buddy system.,Environmental factors,Sean Mendez (Physiotherapist),No physical injury,mild,No,No,none,No medical treatment required
