incident_id,participant_id,ndis_number,dob,incident_date,incident_time,notification_date,location,incident_type,subcategory,severity,reportable,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome
166,236,529972267,1968-02-04,2024-05-22,03:31,,Care Home 1,Self-Harm / Suicide,Cutting,Major,Non-Reportable,An incident of type Self-Harm / Suicide (Cutting) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,24,,,True,True,Specialist Consultation,Stable
167,13,458121826,2006-04-30,2024-05-22,06:28,,Care Home 21,Neglect (Expanded),Lack of supervision,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Lack of supervision) occurred. A Neglect (Expanded) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,139,,,False,False,,
168,628,498427563,1958-09-16,2024-05-22,17:23,,"287 Victoria Rd, Hornsby NSW 2957",Near Miss,Medication nearly administered incorrectly,Minor,Non-Reportable,An incident of type Near Miss (Medication nearly administered incorrectly) occurred. A Near Miss incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,55,,,False,False,,
169,625,871069611,1973-10-24,2024-05-23,11:09,,Care Home 10,Serious Injury,Burns,Major,Non-Reportable,An incident of type Serious Injury (Burns) occurred. A Serious Injury incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,137,,,True,True,Hospital Visit,Ongoing Care
170,341,409886531,2017-06-03,2024-05-24,23:26,,Care Home 17,Transport Incident,Fall during entry/exit,Minor,Non-Reportable,An incident of type Transport Incident (Fall during entry/exit) occurred. A Transport Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,15,,,False,False,,
171,219,955594651,1959-10-29,2024-05-25,07:50,,"759 Oxford St, Hornsby NSW 2002",Equipment Failure,Wheelchair breakdown,Minor,Non-Reportable,An incident of type Equipment Failure (Wheelchair breakdown) occurred. A Equipment Failure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,120,,,False,False,,
172,174,743675210,1956-04-19,2024-05-25,08:02,,"879 Bridge Rd, Manly NSW 2353",Sexual Misconduct,Inappropriate touching,Minor,Non-Reportable,An incident of type Sexual Misconduct (Inappropriate touching) occurred. A Sexual Misconduct incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,105,,,False,False,,
173,458,970840823,2012-03-18,2024-05-25,20:28,,"864 King St, Newtown NSW 2346",Restrictive Practices (Unauthorised),Seclusion,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Seclusion) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,101,,,False,False,,
174,335,938502444,1985-04-26,2024-05-26,05:37,,Care Home 9,Serious Injury,Head injury,Minor,Non-Reportable,An incident of type Serious Injury (Head injury) occurred. A Serious Injury incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,120,,,False,False,,
175,405,990725892,1961-12-25,2024-05-26,21:45,,"204 Oxford St, Hornsby NSW 2958",Verbal Abuse / Argument,Participant-to-participant or staff,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Participant-to-participant or staff) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,3,,,False,False,,
176,223,775778517,1979-05-25,2024-05-27,22:18,,"1 Bridge Rd, Blacktown NSW 2800",Service Complaint,Staff rudeness,Minor,Non-Reportable,An incident of type Service Complaint (Staff rudeness) occurred. A Service Complaint incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,90,,,False,False,,
177,161,289492629,1996-07-21,2024-05-28,00:35,,"132 Bridge Rd, Manly NSW 2462",Assault (Unlawful Contact),"Physical assault (hitting, kicking)",Minor,Non-Reportable,"An incident of type Assault (Unlawful Contact) (Physical assault (hitting, kicking)) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a community setting.",Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,46,,,False,False,,
178,194,711948787,1963-09-22,2024-05-28,03:40,,Care Home 8,Service Complaint,Staff rudeness,Major,Non-Reportable,An incident of type Service Complaint (Staff rudeness) occurred. A Service Complaint incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,102,,,True,True,GP Visit,Recovered
179,352,042530897,1988-10-21,2024-05-28,04:39,,Care Home 9,Service Complaint,Delays,Minor,Non-Reportable,An incident of type Service Complaint (Delays) occurred. A Service Complaint incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,24,,,False,False,,
180,134,676404830,1945-04-02,2024-05-28,08:29,,Care Home 13,Abuse or Neglect,Emotional,Major,Non-Reportable,An incident of type Abuse or Neglect (Emotional) occurred. A Abuse or Neglect incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,27,,,True,True,First Aid,Recovered
181,281,825647515,1989-12-07,2024-05-28,10:56,,Care Home 10,Unethical Staff Behaviour,Falsified logs,Minor,Non-Reportable,An incident of type Unethical Staff Behaviour (Falsified logs) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,18,,,False,False,,
182,487,430128353,1987-07-08,2024-05-28,13:05,,"527 Bridge Rd, Parramatta NSW 2554",Near Miss,Medication nearly administered incorrectly,Minor,Non-Reportable,An incident of type Near Miss (Medication nearly administered incorrectly) occurred. A Near Miss incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,29,,,False,False,,
183,601,930219699,1972-09-13,2024-05-28,21:33,,Care Home 23,Restrictive Practices (Unauthorised),Environmental restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Environmental restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,29,,,False,False,,
184,144,291037427,1970-10-12,2024-05-28,22:52,,Care Home 17,Behavioural Incident,Intimidation,Major,Non-Reportable,An incident of type Behavioural Incident (Intimidation) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,116,,,True,True,Hospital Visit,Stable
185,87,675391033,1982-05-19,2024-05-29,00:15,,Care Home 1,Restrictive Practices (Unauthorised),Chemical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Chemical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,23,,,False,False,,
186,438,986640092,1998-11-09,2024-05-30,08:03,,Care Home 20,Neglect (Expanded),Unsafe hygiene,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Unsafe hygiene) occurred. A Neglect (Expanded) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,89,,,False,False,,
187,180,056995841,1962-01-22,2024-05-30,10:47,,"81 Pitt St, Newtown NSW 2736",Near Miss,Almost tripped,Minor,Non-Reportable,An incident of type Near Miss (Almost tripped) occurred. A Near Miss incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,11,,,False,False,,
188,166,732890242,1985-04-24,2024-05-30,11:55,,"751 George St, Glebe NSW 2961",Sexual Misconduct,Exhibitionism,Major,Non-Reportable,An incident of type Sexual Misconduct (Exhibitionism) occurred. A Sexual Misconduct incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,176,,,True,True,Specialist Consultation,Recovered
189,97,619538620,1950-04-09,2024-05-31,12:42,,Care Home 14,Transport Incident,Fall during entry/exit,Minor,Non-Reportable,An incident of type Transport Incident (Fall during entry/exit) occurred. A Transport Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,5,,,False,False,,
190,626,385709236,1975-10-08,2024-06-01,18:36,,"861 High St, Newtown NSW 2179",Self-Harm / Suicide,Threats to self,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Threats to self) occurred. A Self-Harm / Suicide incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,29,,,False,False,,
191,598,212519022,2013-03-05,2024-06-02,02:59,,Care Home 5,Medical Incident (Non-Injury),Allergic reaction,Major,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Allergic reaction) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,91,,,True,True,Hospital Visit,Recovered
192,331,952867054,2013-09-22,2024-06-02,11:32,,"56 Church St, Chatswood NSW 2706",Self-Harm / Suicide,Suicide attempts,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Suicide attempts) occurred. A Self-Harm / Suicide incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,76,,,False,False,,
193,482,914433347,2013-01-11,2024-06-02,23:26,,Care Home 8,Serious Injury,Fractures,Minor,Non-Reportable,An incident of type Serious Injury (Fractures) occurred. A Serious Injury incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,155,,,False,False,,
194,326,262179448,1951-09-18,2024-06-03,02:12,2024-06-04,Care Home 11,Death,Hospital-related,Critical,Reportable,An incident of type Death (Hospital-related) occurred. A participant was found unresponsive and later confirmed deceased. Emergency services were contacted and family representatives were notified. The site followed established procedures and preserved privacy and dignity at all times. This occurred in a supervised residential setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,underlying health complexity; rapid clinical deterioration,71,,,True,True,GP Visit,Fatal
195,437,290203500,2016-04-21,2024-06-03,03:14,,Care Home 22,Verbal Abuse / Argument,Participant-to-participant or staff,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Participant-to-participant or staff) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,101,,,False,False,,
196,423,802796397,2006-07-23,2024-06-03,07:22,,"454 High St, Bondi NSW 2746",Financial Misconduct / Error,Misuse of funds,Major,Non-Reportable,An incident of type Financial Misconduct / Error (Misuse of funds) occurred. A Financial Misconduct / Error incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,131,,,True,True,GP Visit,Recovered
197,480,616076071,1999-07-01,2024-06-03,12:43,,"488 Church St, Chatswood NSW 2772",Environmental Hazard,Electrical hazard,Major,Non-Reportable,An incident of type Environmental Hazard (Electrical hazard) occurred. A Environmental Hazard incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,1,,,True,True,Specialist Consultation,Recovered
198,423,802796397,2006-07-23,2024-06-04,21:30,,"165 Queen St, Newtown NSW 2919",Financial Misconduct / Error,Misuse of funds,Major,Non-Reportable,An incident of type Financial Misconduct / Error (Misuse of funds) occurred. A Financial Misconduct / Error incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,19,,,True,True,Specialist Consultation,Stable
199,106,992072194,1981-06-21,2024-06-04,21:47,,Care Home 21,Near Miss,Door not secured,Major,Non-Reportable,An incident of type Near Miss (Door not secured) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,101,,,True,True,First Aid,Recovered
200,369,924132820,1948-12-24,2024-06-05,02:05,,Care Home 21,Restrictive Practices (Unauthorised),Seclusion,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Seclusion) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,71,,,False,False,,
201,10,796843375,2014-05-27,2024-06-05,13:28,,"122 George St, Manly NSW 2637",Service Complaint,Staff rudeness,Minor,Non-Reportable,An incident of type Service Complaint (Staff rudeness) occurred. A Service Complaint incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,1,,,False,False,,
202,167,703866711,1998-11-20,2024-06-05,22:17,,Care Home 10,Near Miss,Almost tripped,Minor,Non-Reportable,An incident of type Near Miss (Almost tripped) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,85,,,False,False,,
203,588,855306223,1982-08-30,2024-06-05,22:58,,Care Home 24,Missing Person / Unexplained Absence,No contact during outing,Minor,Non-Reportable,An incident of type Missing Person / Unexplained Absence (No contact during outing) occurred. A Missing Person / Unexplained Absence incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,165,,,False,False,,
204,583,473824622,1949-06-14,2024-06-06,12:37,,"508 Church St, Glebe NSW 2782",Near Miss,Almost tripped,Major,Non-Reportable,An incident of type Near Miss (Almost tripped) occurred. A Near Miss incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,134,,,True,True,Hospital Visit,Ongoing Care
205,602,755667373,1946-12-03,2024-06-08,23:08,,Care Home 18,Missing Person / Unexplained Absence,No contact during outing,Minor,Non-Reportable,An incident of type Missing Person / Unexplained Absence (No contact during outing) occurred. A Missing Person / Unexplained Absence incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,9,,,False,False,,
206,399,984529094,2014-05-31,2024-06-10,15:24,,Care Home 16,Medical Incident (Non-Injury),Allergic reaction,Minor,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Allergic reaction) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,24,,,False,False,,
207,634,526725724,1970-12-14,2024-06-11,06:44,2024-06-12,"203 Bridge Rd, Blacktown NSW 2910",Financial Misconduct / Error,Billing error,Critical,Reportable,An incident of type Financial Misconduct / Error (Billing error) occurred. A Financial Misconduct / Error incident occurred. This occurred in a community setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,154,,,True,True,Specialist Consultation,Stable
208,303,413562750,2007-07-11,2024-06-11,18:52,,"92 George St, Chatswood NSW 2922",Serious Injury,Burns,Minor,Non-Reportable,An incident of type Serious Injury (Burns) occurred. A Serious Injury incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,64,,,False,False,,
209,103,002668314,2006-12-21,2024-06-12,06:17,,Care Home 7,Unethical Staff Behaviour,Falsified logs,Major,Non-Reportable,An incident of type Unethical Staff Behaviour (Falsified logs) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,3,,,True,True,First Aid,Stable
210,199,751427308,1944-06-27,2024-06-13,03:14,,Care Home 5,Abuse or Neglect,Sexual,Minor,Non-Reportable,An incident of type Abuse or Neglect (Sexual) occurred. A Abuse or Neglect incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,145,,,False,False,,
211,346,618637972,1968-11-03,2024-06-13,17:17,,"837 Pitt St, Parramatta NSW 2052",Medical Incident (Non-Injury),Sudden illness onset,Minor,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Sudden illness onset) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,90,,,False,False,,
212,613,612051681,1959-01-10,2024-06-14,10:11,,"962 High St, Glebe NSW 2683",Financial Misconduct / Error,Billing error,Major,Non-Reportable,An incident of type Financial Misconduct / Error (Billing error) occurred. A Financial Misconduct / Error incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,9,,,True,True,First Aid,Recovered
213,106,992072194,1981-06-21,2024-06-15,06:56,,Care Home 21,Financial Misconduct / Error,Theft,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Theft) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,101,,,False,False,,
214,500,655024394,1994-12-03,2024-06-16,08:30,,Care Home 21,Near Miss,Medication nearly administered incorrectly,Minor,Non-Reportable,An incident of type Near Miss (Medication nearly administered incorrectly) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,19,,,False,False,,
215,505,245989364,1993-07-20,2024-06-16,11:33,,Care Home 9,Restrictive Practices (Unauthorised),Environmental restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Environmental restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,129,,,False,False,,
216,243,766436334,2013-01-26,2024-06-16,13:24,,Care Home 22,Environmental Hazard,Flooding,Minor,Non-Reportable,An incident of type Environmental Hazard (Flooding) occurred. A Environmental Hazard incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,76,,,False,False,,
217,414,099741524,1959-11-01,2024-06-17,04:03,2024-06-18,"914 Oxford St, Hornsby NSW 2987",Sexual Misconduct,Sharing sexual images without consent,Critical,Reportable,An incident of type Sexual Misconduct (Sharing sexual images without consent) occurred. A Sexual Misconduct incident occurred. This occurred in a community setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,71,,,True,True,GP Visit,Recovered
218,462,929662085,2006-11-01,2024-06-17,15:56,,Care Home 18,Financial Misconduct / Error,Unauthorised transactions,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Unauthorised transactions) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,38,,,False,False,,
219,470,465841624,1965-06-24,2024-06-17,23:26,,"69 Oxford St, Blacktown NSW 2833",Restrictive Practices (Unauthorised),Physical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Physical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,19,,,False,False,,
220,49,853877279,2016-05-31,2024-06-18,04:49,,Care Home 13,Financial Misconduct / Error,Theft,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Theft) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,141,,,False,False,,
221,364,605828857,1969-06-15,2024-06-18,13:09,,Care Home 24,Self-Harm / Suicide,Suicide attempts,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Suicide attempts) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,168,,,False,False,,
222,503,392643855,2002-12-09,2024-06-20,04:54,,"577 Church St, Chatswood NSW 2003",Self-Harm / Suicide,Suicide attempts,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Suicide attempts) occurred. A Self-Harm / Suicide incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,107,,,False,False,,
223,625,871069611,1973-10-24,2024-06-20,08:14,,Care Home 10,Serious Injury,Head injury,Minor,Non-Reportable,An incident of type Serious Injury (Head injury) occurred. A Serious Injury incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,129,,,False,False,,
224,498,569348973,1989-11-19,2024-06-21,22:38,,"874 Oxford St, Blacktown NSW 2203",Medical Incident (Non-Injury),Allergic reaction,Minor,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Allergic reaction) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,105,,,False,False,,
225,514,360695569,1974-01-23,2024-06-22,05:42,,Care Home 18,Neglect (Expanded),Lack of supervision,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Lack of supervision) occurred. A Neglect (Expanded) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,73,,,False,False,,
226,519,820023312,1959-02-18,2024-06-22,11:05,,"778 King St, Chatswood NSW 2481",Infectious Disease Exposure,Gastroenteritis,Minor,Non-Reportable,An incident of type Infectious Disease Exposure (Gastroenteritis) occurred. A Infectious Disease Exposure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,13,,,False,False,,
227,542,351695758,1976-01-21,2024-06-23,01:31,,Care Home 19,Infectious Disease Exposure,Flu outbreaks,Minor,Non-Reportable,An incident of type Infectious Disease Exposure (Flu outbreaks) occurred. A Infectious Disease Exposure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,59,,,False,False,,
228,152,960343274,1960-11-04,2024-06-24,02:15,,"619 Victoria Rd, Manly NSW 2644",Equipment Failure,Wheelchair breakdown,Minor,Non-Reportable,An incident of type Equipment Failure (Wheelchair breakdown) occurred. A Equipment Failure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,4,,,False,False,,
229,457,237333205,2013-05-23,2024-06-24,12:33,,Care Home 13,Equipment Failure,Wheelchair breakdown,Major,Non-Reportable,An incident of type Equipment Failure (Wheelchair breakdown) occurred. A Equipment Failure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,21,,,True,True,First Aid,Stable
230,640,307184469,2005-10-26,2024-06-25,00:33,,"332 Oxford St, Manly NSW 2430",Equipment Failure,Hoist malfunction,Minor,Non-Reportable,An incident of type Equipment Failure (Hoist malfunction) occurred. A Equipment Failure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,19,,,False,False,,
231,417,312369629,1962-12-28,2024-06-25,11:45,,Care Home 2,Sexual Misconduct,Exhibitionism,Minor,Non-Reportable,An incident of type Sexual Misconduct (Exhibitionism) occurred. A Sexual Misconduct incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,70,,,False,False,,
232,505,245989364,1993-07-20,2024-06-25,20:16,,Care Home 9,Restrictive Practices (Unauthorised),Physical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Physical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,129,,,False,False,,
233,252,773981021,1977-06-03,2024-06-25,23:39,,Care Home 20,Behavioural Incident,Biting,Minor,Non-Reportable,An incident of type Behavioural Incident (Biting) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,152,,,False,False,,
234,247,281247416,2008-11-19,2024-06-26,00:36,,"599 Pitt St, Surry Hills NSW 2919",Neglect (Expanded),Unsafe hygiene,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Unsafe hygiene) occurred. A Neglect (Expanded) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,80,,,False,False,,
235,116,034827773,1958-09-30,2024-06-26,00:46,,"493 Queen St, Manly NSW 2744",Behavioural Incident,Aggression,Major,Non-Reportable,An incident of type Behavioural Incident (Aggression) occurred. A Behavioural Incident incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,89,,,True,True,GP Visit,Ongoing Care
